Species,Family,FishGroups,EnglishName,KiswahiliName,Bycatch,Price_KSHPerkg,FunGr_Diet,TrophLevel,SE_TrophLevel,Vulnerability,Lmat_cm,Lopt_cm,Linf_cm,SizeCategory,Diet,Mobility,Active,Schooling,Position,TempPrefMin_degC,TempPrefMean_degC,TempPrefMax_degC,Calcium_mgPer100g,Calicum_L95,Calcium_U95,Iron_mgPer100g,Iron_L95,Iron_U95,Omega3_gPer100g,Omega3_L95,Omega3_U95,Protein_gPer100g,Protein_L95,Protein_U95,VitaminA_ugPer100g,VitaminA_L95,VitaminA_U95,Selenium_ugPer100g,Selenium_L95,Selenium_U95,Zinc_mgPer100g,Zinc_L95,Zinc_U95,Source,Notes
Chaetodon trifasciatus,Chaetodontidae,Butterflyfishes,Redfin butterflyfish,Kitatange,Yes,80,Invert-Micro,3.34,0.61,10,9.481161659,10.43550686,16.051364,S3,Sessile Inverts,Sed,Day,Pair,Bottom,NA,NA,NA,123.042445,68.47481036,227.1111733,0.964900862,0.599641829,1.72650798,0.147352374,0.088595339,0.246471511,19.2197714,18.10803452,20.35169525,33.70865106,10.06000133,117.1555346,30.72307835,15.57936589,63.64848563,1.404383202,0.917009633,2.138219761,Galligan,
Chaetodon vagabundus,Chaetodontidae,Butterflyfishes,Threadfin butterflyfish,Kikorokoro,Yes,80,Predator,2.9,0.4,17.81,8.284620221,9.030507901,13.93455139,S3,Mobile Inverts,Sed,Day,Pair,Bottom,24.7,28.4,29.3,72.59216411,45.07029641,116.3859352,0.762695048,0.505350663,1.207075727,0.128771441,0.084485417,0.191754868,18.95841492,17.90425626,19.99069362,36.44950861,11.91364898,114.7487368,31.41605467,17.8622531,56.93977615,1.316337733,0.902203797,1.907042687,Galligan,
Chaetodon xanthocephalus,Chaetodontidae,Butterflyfishes,Yellowhead butterflyfish,NA,Yes,80,Predator,2.7,0.24,15.01,8.284620221,9.030507901,13.93455139,S3,Omnivorous,Sed,Day,Pair,Bottom,25.9,28.2,29.3,78.91128962,48.33922826,129.7977115,0.814509827,0.541937862,1.293214386,0.127896061,0.082332591,0.193981586,18.86024235,17.79495509,19.89918588,34.75731474,10.9890774,110.868117,30.68710883,17.2752129,56.46062409,1.40734039,0.956736919,2.053001796,Galligan,
Cheilinus oxycephalus,Labridae,Wrasses,Snooty wrasse,Kanga macho,No,160,NA,NA,NA,25.85,22.4325487,27.41599712,44.7347749,S3,Mobile Inverts,Mob,Day,Sol,Bottom,24.8,27.8,29,84.3045245,40.7302147,166.3832722,0.920892789,0.336776319,1.911311137,0.117035704,0.065673595,0.207004892,18.19928541,14.34695005,21.48817675,322.2453932,59.932861,1388.678788,31.22695339,12.98821127,66.07015661,3.408750047,1.816043415,5.777638166,Galligan,
Cheilinus trilobatus,Labridae,Wrasses,Tripletail wrasse,Stefua,Yes,160,Invert-Macro,3.920000076,0.6061,42.75,14.65007993,17.20528598,27.92423877,S4,Mobile Inverts,Mob,Day,Sol,Bottom,25.2,28.4,29.3,45.7619059,20.30764255,109.3678084,0.787905104,0.302673639,1.673464328,0.177691246,0.080191791,0.389330969,16.79778564,12.86391527,20.21769514,261.8881094,38.68960635,1483.282123,30.38753057,11.85970722,78.68729514,3.094395756,1.537668313,5.060124847,Galligan,
Cheilio inermis,Labridae,Wrasses,Cigar wrasse,Badu,No,160,Invert-Micro,3.49,0.54,58.05,15.01896242,17.44777162,28.20702692,S4,Carnivorous,VMob,Day,Sol,Bottom,24.4,27.7,29,41.34114161,23.09858955,70.1198787,0.462038402,0.266170481,0.83939408,0.091951327,0.055531097,0.151596681,18.3009476,15.45749992,20.6733536,89.37879264,27.42422359,302.0182869,39.84261484,22.34410954,71.29666758,1.383404583,0.906968197,2.452336901,Galligan,
Cheilodipterus arabicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,11.4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FishBase,
Cheilodipterus artus,Apogonidae,Cardinalfishes,Lined cardinalfish,NA,Yes,NA,Predator,4.14,0.72,21.52,8.540660585,9.103069005,13.54897433,S3,Carnivorous,Sed,Night,SmallG,Low,24.7,27.9,29,76.20045828,43.27610055,127.478393,0.775254024,0.489692701,1.33395868,0.165643122,0.098247281,0.271713206,19.09630106,18.025839,20.17008063,120.801736,39.65984285,366.040952,27.9731422,13.73261011,53.35236225,1.049879099,0.697930503,1.59458828,Galligan,
Cheilodipterus quinquelineatus,Apogonidae,Cardinalfishes,Five-lined cardinalfish,NA,Yes,NA,Predator,3.5,0.53,12.47,8.540660585,9.103069005,13.54897433,S2,Carnivorous,Sed,Night,SmallG,Low,24.9,27.9,29,147.05815,82.53003258,311.8743412,0.811361038,0.49627905,1.391456381,0.126404641,0.075019281,0.21945122,19.11363979,18.06141885,20.15736261,85.05367608,29.74589684,234.7652003,34.24574675,16.79613883,67.87455611,1.633418932,1.09850174,2.355255021,Galligan,
Chlorurus atrilunula,Scaridae,Parrotfishes,Black crescent parrotfish,Pono,No,120,Grazer,2,0,22.64,24.10740802,33.08825115,39.99746381,S4,Omnivorous,Mob,Day,SmallG,Bottom,24.9,27.3,28.9,42.82131269,16.84424926,114.7233525,0.692446104,0.2855385,1.843879535,0.102948797,0.049623557,0.21033884,18.73343087,16.64042632,20.58845727,25.85431353,8.087887513,81.83913887,37.03579047,13.38180604,108.7851103,2.594316546,1.035491803,4.693772221,Galligan,
Chlorurus sordidus,Scaridae,Parrotfishes,Blue–barred parrotfish,Kangu pono,No,120,Grazer,2.62,0.29,18.82,19.85225789,26.10843968,30.59431719,S4,Omnivorous,Mob,Day,SmallG,Bottom,24.6,27.5,28.8,56.48421812,20.24442431,149.6911554,0.898639471,0.345136489,2.514250607,0.213402287,0.087402473,0.526537996,17.96831063,15.77509152,19.91470419,25.61084152,6.791133362,90.91225197,40.62690235,13.96736157,125.0853802,2.857318687,1.173706579,5.396253814,Galligan,
Chlorurus strongylocephalus,Scaridae,Rabbitfishes,White spotted rabbitfish,Pono,No,120,Grazer,2,0,36.53,24.10740802,33.08825115,39.99746381,S5,Omnivorous,Mob,Day,SmallG,Bottom,25.5,28.5,29.3,22.74060275,8.610110967,61.32308534,0.522595513,0.213623051,1.409237552,0.089609414,0.042714704,0.188738439,18.83922606,16.74104315,20.70839128,19.75033246,6.172663645,62.81444983,44.99873317,15.50075334,134.8658274,2.049330877,0.816141213,3.804394842,Galligan,
Chromis atripectoralis,Pomacentridae,Damselfishes,Black-axil chromis,NA,No,80,Predator,NA,NA,23.46,6.684649711,7.492984791,11.51997206,S2,Planktivorous,Sed,Day,LargeG,Low,25,28.4,29.3,80.99195207,45.83165981,133.943249,0.870579505,0.559762353,1.442283959,0.152492142,0.088814559,0.255510673,18.49392581,17.40439074,19.55501843,127.4173699,40.01817068,417.9065223,23.49463924,11.38292194,45.74475366,1.362027385,0.89781105,2.047781997,Galligan,
Coris,Labridae,NA,NA,Timbati,Yes,160,NA,NA,NA,NA,21.6276284,23.71940891,32.63310592,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.54488272,3.098334617,77.02943064,0.493860488,0.295184129,0.841010951,0.11506224,0.058854994,0.225679865,18.75979911,15.92455722,21.07595428,72.78751324,24.52357215,224.2034632,39.91847083,16.25317876,107.693024,1.708586972,0.805259182,3.030789155,Galligan,
Coris formosa,Labridae,Wrasses,Queen coris,Timbati,Yes,160,Invert-Macro,3.349999905,0.3828,55.25,13.26680968,14.72325897,27.06956463,S5,Mobile Inverts,Mob,Day,Sol,Bottom,24.6,27.1,28.5,28.54488272,3.098334617,77.02943064,0.493860488,0.295184129,0.841010951,0.11506224,0.058854994,0.225679865,18.75979911,15.92455722,21.07595428,72.78751324,24.52357215,224.2034632,39.91847083,16.25317876,107.693024,1.708586972,0.805259182,3.030789155,Galligan,
Ctenochaetus striatus,Acanthuridae,Surgeonfishes,Stripped bristletooth,Togoo,Yes,120,Detritivore,2,0,18.05,19.02410618,18.97585845,23.88637472,S3,Omnivorous,Sed,Day,MedG,Bottom,24.6,27.8,29,34.0372276,21.14486937,59.63734455,0.239528528,0.123519482,0.59241395,0.125975109,0.081617455,0.193711645,18.62315068,17.46642733,19.75160604,21.85602727,5.630076369,81.38666408,22.55222981,12.9132026,41.71089428,0.42905722,0.289574129,1.309694807,Galligan,
Dascyllus trimaculatus,Pomacentridae,Damselfishes,Scissor tail sergeant,Kitange,No,80,Planktivore,2.8,0.1,25.07,7.019026261,7.984098392,12.3618042,S2,Planktivorous,Sed,Day,SmallG,Bottom,24.6,28,29,69.76330179,39.44116319,116.4032686,0.849954399,0.542372373,1.375287823,0.141829427,0.08311496,0.235522128,18.38298314,17.27748084,19.47319185,106.979984,32.6471732,362.642586,23.94208161,11.58111362,47.94354932,1.3623738,0.897246974,2.052688242,Galligan,
Decapterus kurroides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2,23.4,36.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FishBase,
Diagramma pictum,Haemulidae,Sweetlips,Paintes sweetlips,Beha,No,160,Pisc-Macro-Invert,3.39,0.48,44.59,32.43865649,37.06110902,65.52471097,S6,Mobile Inverts,Mob,Day,MedG,Bottom,24.1,28,29.1,25.75925151,10.49173479,71.29486716,0.49252398,0.200070689,1.043992647,0.104438978,0.050303426,0.209649918,19.90776325,17.80476087,21.97844582,37.93197595,16.19563937,85.41285546,47.63300201,17.34092721,127.7741559,0.533775552,0.282825979,1.757889936,Galligan,
Diodon holocanthus,Tetraodontidae,Puffers,Balloonfish,NA,Yes,0,Predator,3.31,0.43,27.17,19.0749683,20.48153684,35.6931336,S4,Mobile Inverts,Mob,Both,Sol,Bottom,21.5,27.3,29,33.85306273,12.83774621,86.04050528,0.856045363,0.44912296,1.831792721,0.187520552,0.091432547,0.370585192,19.78100114,17.61112742,21.98888803,24.09228459,5.882094568,99.43481731,19.14946446,8.460531212,46.74014336,0.725365363,0.431639011,1.211469755,Galligan,
Diodon hystrix,Diodontidae,Porcupinefishes,Porcupine,Bunju miiba,Yes,0,Predator,3.61,0.56,48.2,19.0749683,20.48153684,35.6931336,S6,Mobile Inverts,Mob,Both,Sol,Bottom,23.3,27.4,29,22.08894147,8.579019398,53.14227609,0.751706094,0.395713839,1.577782096,0.165572897,0.08043441,0.32208328,19.79951143,17.63162447,22.02923803,16.56921732,4.079341081,67.843902,22.0403394,10.23364416,53.55830392,0.634924884,0.380666513,1.045679249,Galligan,
Diodon liturosus,Diodontidae,Porcupinefishes,Porcupine,Bunju miiba,Yes,0,Predator,3.5,0.37,29.57,19.0749683,20.48153684,35.6931336,S5,Mobile Inverts,Mob,Both,Sol,Bottom,24.7,28.1,29.1,38.92129547,15.3384579,82.3246715,0.54459658,0.33781223,1.10289931,0.113469384,0.059517106,0.208849999,18.96441499,16.66098153,21.18017828,31.53792592,9.606502204,102.0686307,41.40807157,21.8883395,89.82701836,0.913242348,0.60270207,1.403143484,Galligan,
Echidna polyzona,Muraenidae,Moray eels,Barred moray,Mkunga,No,NA,Predator,3.55,0.59,54.34,67.21923117,85.87390261,148.4825553,S5,Mobile Inverts,Sed,Night,Sol,Bottom,25.2,28.4,29.3,39.74031284,23.34624989,66.72723636,0.454921898,0.274779359,0.740917709,0.119202473,0.055747887,0.301878592,19.48600717,17.28320906,21.83195827,54.25317083,15.5247705,172.1079324,47.52003274,27.25646204,86.53105289,1.066209139,0.747081083,1.484704446,Galligan,
Encrasicholina heteroloba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,5.9,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FishBase,
Epinephelus coeruleopunctatus,Serranidae,Groupers,Whitespotted grouper,Kivungwi,No,200,Predator,4.17,0.71,55.67,36.99334117,44.68415476,69.00892149,S5,Carnivorous,Mob,Both,Sol,Bottom,24.6,28,29,19.77743278,10.32181876,44.55952504,0.429366399,0.237875742,0.879749344,0.112254379,0.071848418,0.181312908,18.5258164,17.0081494,19.82632781,164.5069347,48.47817967,580.1745148,40.74925373,23.55891835,68.87164367,1.218938127,0.76153012,1.835479577,Galligan,
Epinephelus coioides,Serranidae,Groupers,Orange-spotted grouper,Kivungwi,No,200,Piscivore,3.95,0.67,57.51,48.92105093,60.81789905,93.09196298,S6,Carnivorous,Mob,Both,Sol,Bottom,24.4,28.1,29.1,14.81424017,6.112892786,37.97595509,0.798785065,0.330689073,1.867521958,0.32421921,0.142026367,0.767974652,18.24638139,16.55106927,19.81772177,99.08022193,18.16649334,475.2855861,21.04561334,8.253912285,56.05893478,1.055511229,0.576972368,1.930502754,Galligan,
Epinephelus fuscoguttatus,Serranidae,Groupers,Brown-marbled,Kivungwi,Yes,200,Piscivore,4.14,0.72,57.09,47.42657376,59.48322767,92.88393114,S6,Carnivorous,Mob,Both,Sol,Bottom,25.4,28.2,29.1,16.61212758,8.475619472,36.91339967,0.39089489,0.215645492,0.819081319,0.112201709,0.069491549,0.185356167,18.85590607,17.33731512,20.15132551,129.4365905,38.26162019,455.341187,47.54028159,26.9691892,83.16865315,1.019057678,0.637489859,1.554238349,Galligan,
Epinephelus itajara,Serranidae,Groupers,Jawfish,NA,No,200,Predator,4.03,0.57,69.54,84.17656823,109.8660667,169.0504185,S6,Mobile Inverts,Mob,Night,Sol,Bottom,22.8,26.3,28,9.826438001,3.952413153,25.20593129,0.68560473,0.278727639,1.660388367,0.294667153,0.121804831,0.729584731,18.47814175,16.78147655,20.0435073,63.76532719,11.16427778,312.4972386,26.25125263,9.890621933,75.16730667,0.855037509,0.456881448,1.588595275,Galligan,
Epinephelus longispinis,Serranidae,Groupers,Longspined grouper,Tewa,No,200,Predator,4.15,0.62,44.06,36.99334117,44.68415476,69.00892149,S5,Carnivorous,Mob,Both,Sol,Bottom,25.6,28.2,29,26.84116014,14.13897381,59.08183822,0.443079262,0.248137201,0.92988776,0.128465151,0.083065947,0.20324217,18.70140053,17.18265482,19.98794121,230.4749034,65.38417169,807.7031947,37.75065924,20.83053456,62.7877128,1.241856276,0.785160189,1.868835058,Galligan,
Epinephelus malabaricus,Serranidae,Groupers,Malabar grouper,Tewa,No,200,Predator,4.16,0.61,40.44,46.92578656,57.84733075,88.94469201,S6,Carnivorous,Mob,Both,Sol,Bottom,24.3,28,29.1,23.75468111,9.799891875,59.94717958,0.690670116,0.284726481,1.905080486,0.208361713,0.086854658,0.489701417,18.27365721,16.51792557,19.77598806,36.11362451,6.846714062,194.7435984,70.19384545,25.38891992,205.2100402,1.114530392,0.600986139,1.997161273,Galligan,
Epinephelus merra,Serranidae,Groupers,Honeycomb grouper,Tewa,No,200,Predator,4.38,0.79,28.85,20.55489583,23.4335238,35.91913503,S4,Carnivorous,Mob,Both,Sol,Bottom,24.6,27.8,29,40.01561574,20.13063984,91.75868347,0.783757513,0.391471592,1.604514574,0.138467494,0.085948814,0.227284758,18.38872529,16.78636629,19.73335219,224.8177156,58.4636634,830.7133433,35.98701018,19.26112656,66.71898979,1.372264569,0.830904149,2.126391292,Galligan,
Epinephelus multinotatus,Serranidae,Groupers,White-blotched grouper,Kivungwi,Yes,200,Piscivore,3.86,0.67,39.07,38.22668119,46.27303566,71.39819895,S6,Carnivorous,Mob,Both,Sol,Bottom,24.7,27.3,29.2,20.75582908,10.76016385,45.66659851,0.463973776,0.251425502,0.956253782,0.11236,0.069660291,0.185046091,18.8337536,17.31264045,20.13402597,99.90771106,28.79014077,354.0047741,48.17469493,27.95739995,84.6081994,1.101947958,0.692583133,1.676372937,Galligan,
Epinephelus rivulatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1,21.3,34.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FishBase,
Epinephelus spilotoceps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7,31,49.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FishBase,
Epinephelus tauvina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5,59.2,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FishBase,
Euthynnus affinis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.1,60.7,89.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FishBase,
Gerres longirostris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,19.4,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FishBase,
Gerres oblongus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,19.4,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FishBase,
Gerres oyena,Gerreidae,Grunters,Blacktip mojarra,Chaa,Yes,260,Predator,2.72,0.24,16.52,10.42270289,12.34671097,19.83763124,S3,Mobile Inverts,VMob,Night,MedG,Low,25.2,28.5,29.3,92.74830341,44.15736099,186.9648363,1.18696386,0.573643284,2.205708795,0.274127071,0.124587293,0.619435381,18.20489174,15.91755227,20.31936291,30.91539744,6.701745176,124.0582053,40.08337748,18.79080143,86.97215576,1.87037482,1.140832037,2.926544337,Galligan,
Gnathodentex aureolineatus,Lethrinidae,Emperors,Goldspot seabream,Chengo,No,200,Invert-Micro,3.65,0.57,30.1,23.31100516,27.57424678,41.39718455,S4,Mobile Inverts,Mob,Night,LargeG,Bottom,24.9,28.4,29.3,60.08591741,34.16403133,115.0387275,0.59777201,0.366245682,0.980138849,0.140721095,0.083676028,0.207534305,19.85438835,17.95480404,21.72189474,69.16583283,20.96661042,192.4405773,36.6349125,21.56287922,60.29847383,1.233105737,0.831763922,1.732028152,Galligan,
Gomphosus caeruleus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6,20.7,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FishBase,
Gymnocranius grandoculis,Lethrinidae,Emperors,Blue lined large eye bream,Changu,No,200,Pisc-Macro-Invert,3.98,0.63,41.78,30.07390826,36.89170111,56.1033532,S5,Mobile Inverts,Mob,Night,Sol,Bottom,21.6,26.8,28.3,31.11562276,18.00231502,54.84769084,0.461547957,0.288074827,0.742311325,0.122054745,0.074355378,0.176053543,20.07891627,18.17851859,21.9347717,45.10832582,13.75116138,122.3208918,47.23037037,28.13300827,75.86172873,0.925735111,0.637502901,1.307264346,Galligan,
Gymnothorax favagineus,Muraenidae,Moray eels,Honeycomb moray,Mkunga,Yes,NA,Piscivore,4.24,0.64,86.23,67.21923117,85.87390261,148.4825553,S6,Carnivorous,Sed,Night,Sol,Bottom,24.5,28.1,29.1,18.02654284,8.002717914,36.51794398,0.329980412,0.185039595,0.679741737,0.209059068,0.077507114,0.611818093,18.72041643,16.41590777,21.10427923,65.51687982,14.25230958,294.4094997,59.19535027,25.61582336,140.4139683,0.861281526,0.519095869,1.406876578,Galligan,
Gymnothorax flavimarginatus,Muraenidae,NA,NA,Mkunga,Yes,NA,Piscivore,4.16,0.72,84.66,67.21923117,85.87390261,148.4825553,S6,Carnivorous,Sed,Night,Sol,Bottom,23.7,27.8,29,17.17065795,8.891153313,31.5071383,0.27809951,0.145686741,0.505012021,0.109703529,0.046490134,0.297317192,19.86739439,17.66824563,22.25811057,55.6519519,14.2516217,197.7387106,59.16790529,30.8641074,124.5877052,0.700239767,0.461603547,1.019969179,Galligan,
Gymnothorax undulatus,Muraenidae,Moray eels,Undulated moray,NA,No,NA,Predator,4.32,0.75,80.86,67.21923117,85.87390261,148.4825553,S6,Carnivorous,Sed,Night,Sol,Bottom,24.3,28,29,29.32701596,13.88491529,56.25654326,0.449297676,0.27034906,0.845657179,0.214132267,0.084402259,0.603224544,18.42615203,16.12582577,20.76468429,59.50914217,13.4369255,242.7570588,51.44365858,23.89579764,117.7128249,1.135928169,0.71601708,1.766520767,Galligan,
Halichoeres hortulanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17.5,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FishBase,
Hemiramphus far,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.5,29.3,46.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FishBase,
Hemiramphus marginatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,16.7,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FishBase,
Heniochus acuminatus,Chaetodontidae,Butterflyfishes,Longfin bannerfish,Kitatange,Yes,80,Planktivore,3.45,0.41,20.09,12.18171722,13.67832214,21.06067944,S3,Mobile Inverts,Sed,Day,Pair,Bottom,23.6,27.9,29.1,94.80662902,47.20891905,167.8637539,0.899978304,0.509057771,1.788922086,0.275138455,0.135327614,0.576330553,18.01647219,16.82484841,19.14700505,57.32441062,14.76257322,207.3462161,30.03867829,11.27189125,71.5618804,1.567474603,0.987360424,2.431407517,Galligan,
Hipposcarus harid,Scaridae,Parrotfishes,Longnose parrotfish,Pono,No,120,Scrapers/Excavators,2,0,51.46,30.12322049,44.09721414,56.25880707,S5,Omnivorous,Mob,Day,MedG,Bottom,25.2,28.5,29.3,24.96132872,12.94289614,45.29326859,0.547651149,0.323666871,0.924663437,0.094229096,0.054959146,0.152493821,18.69433097,16.61989759,20.61796142,28.00673463,8.090950289,93.41282832,42.31513534,20.73316467,91.16692133,1.327914626,0.865796231,2.113996267,Galligan,
Histiopterus typus,Pentacerotidae,seabream,Twobar seabream,Kibembere,No,NA,Predator,3.5,0.5,30.78,26.12302912,31.20480734,47.92137556,S4,Mobile Inverts,VMob,Day,Pair,Low,12.9,19,26.4,10.24352104,4.670325763,20.29647674,0.26144772,0.130329526,0.502089695,0.174787605,0.090965603,0.339124466,18.71777061,17.45847818,19.95321801,21.47801432,3.929505026,115.0888621,10.60447934,4.182506863,26.03640014,0.443369433,0.267446722,0.739336436,Galligan,
Hyporhamphus affinis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,24.7,39.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FishBase,
Hyporhamphus dussumieri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,24.7,39.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FishBase,
Kyphosus vaigiensis,Kyphosidae,Rudderfishes,Lowfin rudderfish,NA,Yes,NA,Variable,2.83,0.34,54.32,30.76406842,35.79771141,51.2399538,S5,Macroalgal herbivorous,VMob,Day,MedG,Low,24.7,27.8,29,24.46443299,13.23710855,44.09386498,0.5072896,0.319204153,0.858795966,0.092500771,0.055499531,0.15318246,18.55976909,17.32544535,19.73939304,24.5929093,5.799165063,99.52398953,38.31481982,16.97049371,78.66692731,1.100303208,0.700269795,1.709052982,Galligan,
Lactoria fornasini,Ostraciidae,Trunkfishes,Thornback cowfish,NA,Yes,0,NA,NA,NA,11.94,19.0749683,20.48153684,35.6931336,S3,Mobile Inverts,VMob,Both,Sol,Bottom,24.3,27.5,28.8,63.95380865,24.95239376,133.2756178,0.667707604,0.419517748,1.302666441,0.124425643,0.061606537,0.229683233,18.44382139,16.1147769,20.68931559,57.64957881,17.78908662,184.2268958,30.0560257,15.60570991,61.66927814,1.28722617,0.840557585,1.992420454,Galligan,
Lagocephalus inermis,Tetraodontidae,Blaasops,Smooth blaasop,NA,Yes,0,NA,NA,NA,35.78,12.6210886,12.87658955,22.16722169,NA,NA,NA,NA,NA,NA,16.6,26.4,28.3,49.32702622,17.64159813,106.6098414,0.74085498,0.418079953,1.509803847,0.169599056,0.078681445,0.357731418,18.39481141,16.10460785,20.64378244,34.88794658,9.218690975,126.6770094,33.09967177,15.63820549,75.83440182,1.155920017,0.723022195,1.863359983,Galligan,
Leptoscarus vaigiensis,Scaridae,Parrotfishes,Seagrass parrotfish,Pono,No,120,Browser,2.27,0.17,24.71,18.66459564,24.4794322,30.42905398,S4,Herbivorous detritivorous,Mob,Day,MedG,Bottom,24.3,28.2,29.3,51.18399261,27.7728727,98.38676011,0.802923564,0.473797219,1.27252849,0.10732565,0.063770493,0.167235744,18.73599317,16.63925068,20.60148895,25.34987749,7.978544097,80.58960314,38.64530007,20.5011738,73.96410114,1.637486858,1.103125205,2.553668762,Galligan,
Lethrinus,Lethrinidae,Emperors,NA,Changu,Yes,200,NA,NA,NA,NA,19.0749683,20.48153684,35.6931336,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.04688513,30.23685967,78.0006189,0.961151395,0.620722834,1.513609514,0.17202209,0.109015515,0.28326219,20.03940724,17.74290195,22.0426274,21.55741785,5.205082927,125.9133832,50.32909823,28.59699991,86.13400892,2.252513807,1.55649566,3.134730699,Galligan,
Lethrinus borbonicus,Lethrinidae,Emperors,Snubnose emperors,Changu,No,200,Predator,3.470000029,0.4083,20.63,17.94349653,20.52935039,30.0741032,S4,Mobile Inverts,VMob,Night,SmallG,Bottom,25.5,27.2,29.2,61.26576146,40.72142701,101.6399809,1.150216095,0.73732844,1.680989517,0.135425228,0.094688407,0.196481151,20.43858336,18.16717111,22.43465556,12.14374938,2.901732255,69.86275971,52.27706672,30.83897343,89.30466881,2.308859497,1.596071342,3.272663608,Galligan,
Lethrinus conchyliatus,Lethrinidae,Emperors,Redaxil emperor,Ndomo,No,200,Predator,4.02,0.67,53.23,25.93150807,30.67945149,45.0745822,S5,Mobile Inverts,Mob,Night,Sol,Bottom,23.2,27,28.3,49.04688513,30.23685967,78.0006189,0.961151395,0.620722834,1.513609514,0.17202209,0.109015515,0.28326219,20.03940724,17.74290195,22.0426274,21.55741785,5.205082927,125.9133832,50.32909823,28.59699991,86.13400892,2.252513807,1.55649566,3.134730699,Galligan,
Lethrinus enigmaticus,Lethrinidae,Emperors,Blackeye emperor,Changu,No,200,Predator,3.829999924,0.583,54.47,30.73328367,39.14532053,56.31741701,S5,Mobile Inverts,VMob,Night,SmallG,Bottom,25.8,27.6,28.2,34.52898995,24.09562932,48.32746364,0.71449073,0.498438351,1.015369373,0.132597727,0.100169902,0.177483628,20.26729063,17.93115563,22.21571991,30.33099895,7.427434781,176.3573673,45.78760305,31.12717167,68.53714076,2.020797879,1.465039153,2.636503757,Galligan,
